question_content,answer_content,box_number,last_reviewed
"Quelle est la définition d'une résistance électrique ?|","Un composant qui s'oppose au passage du courant électrique|","1","2025-04-29"
"Quel est le rôle principal d'une résistance ?|","Principalement à convertir l'énergie électrique en chaleur, mais peut aussi servir de diviseur de tension|","2","2025-04-29"
"Quelle est la fonction du conducteur neutre ?|","Établir une référence de potentiel par rapport à la terre pour la sécurité, et stabiliser la tension dans les circuits triphasés déséquilibrés|","3","2025-04-29"
"Dans quels cas utilise-t-on des fils de type T (H07V-U) ?|","Pour alimenter des appareils électriques avec des conducteurs isolés|","4","2025-04-29"
"Quand doit-on utiliser une corde de type T (H07V-R) ?|","Lorsque les conducteurs ont une section importante (à partir d'environ 25 mm²)|","5","2025-04-29"
"Quelle différence existe-t-il entre Tdv et Td ?|","Le Tdv possède une meilleure résistance mécanique|","6","2025-04-29"
"Comment obtenir du 230[V] alternatif à partir de l'énergie solaire ?|","En utilisant un convertisseur appelé onduleur|","7","2025-04-29"
"Comment fonctionnent les pompes à chaleur ?|","Elles captent la chaleur présente dans l'environnement (sol, air, eau) pour la transférer vers un circuit de chauffage|","8","2025-04-29"
"Définissez ce qu'est un champ tournant.|","Un champ magnétique dont l'orientation varie dans l'espace, comme dans un moteur électrique|","9","2025-04-29"
"Quels sont les différents types de sources lumineuses ?|","Lampe à incandescence, halogène, tube fluorescent, LED|","10","2025-04-29"
"Quelles sont les principales bases de lampes ?|","Bases à baïonnette (B22, BA15d) et à vis (E10, E14, E27, E40)|","11","2025-04-29"
"Comment fonctionne un fer à repasser électrique ?|","Une résistance chauffe la semelle, et la vapeur est produite par évaporation d'eau sur cette surface chaude|","12","2025-04-29"
"Quel est le principe de fonctionnement d'un fusible miniature ?|","Un filament conducteur fond en cas de surintensité, interrompant le circuit|","13","2025-04-29"
"A quoi servent une bobine d'inductance et un starter ?|","Ils permettent l'allumage des tubes fluorescents en générant une surtension nécessaire à l'ionisation du gaz|","14","2025-04-29"
"Comment fonctionne un disjoncteur différentiel ?|","Il compare les courants phase et neutre, et déclenche si la différence dépasse un seuil (généralement 30mA)|","15","2025-04-29"
"Quel est le principe de fonctionnement des lampes à décharge ?|","Un gaz ionisé émet de la lumière lorsque les électrons changent de niveau d'énergie|","16","2025-04-29"
"Qu'est-ce que la courbe d'hystérésis magnétique ?|","Elle représente les propriétés magnétiques des matériaux ferromagnétiques|","17","2025-04-29"
"Quelles sont les dimensions des volumes 1 et 2 autour d'une piscine ?|","Volume 1 : 2m depuis le bord, Volume 2 : de 2m à 3.5m (1.5m de largeur)|","18","2025-04-29"
"Quel indice IP utiliser dans une salle de bain ?|","IP21 pour un local sec|","19","2025-04-29"
"Peut-on mixer les schémas TN-S et TN-C sur une même installation ?|","Oui, c'est possible|","20","2025-04-29"
"Que signifie TN-C-S et où l'utilise-t-on ?|","Système mixte combinant TN-C (alimentation) et TN-S (distribution), utilisé par exemple quand l'alimentation est en TN-C|","21","2025-04-29"
"Quand peut-on utiliser le schéma TN-C ?|","Lorsque le conducteur PEN a une section d'au moins 10[mm²]|","22","2025-04-29"
"Que mesure-t-on en relevant U et I sur un appareil inductif ?|","La puissance apparente (en VA)|","23","2025-04-29"
"Une bouilloire de 1800[W] est-elle normale ?|","Oui, c'est une puissance courante|","24","2025-04-29"
"Comment compenser l'énergie réactive d'un récepteur ?|","En ajoutant un condensateur qui fournit de l'énergie réactive capacitive|","25","2025-04-29"
"Que faire en cas de chute de tension dans une habitation ?|","Vérifier d'abord la consommation interne, puis contacter le gestionnaire de réseau si nécessaire|","26","2025-04-29"
"Comment installer correctement une prise de terre ?|","En faisant une boucle autour des fondations|","27","2025-04-29"
"Pourquoi les selfs traditionnelles ont-elles plus de pertes ?|","À cause des pertes magnétiques et par effet Joule, absentes dans les selfs électroniques|","30","2025-04-29"
"Comment convertir l'énergie hydraulique en électricité ?|","En utilisant une turbine actionnée par l'eau pour entraîner un alternateur|","31","2025-04-29"
"Quand survient la pointe de consommation électrique ?|","Typiquement en milieu de journée en hiver, mais cela évolue avec la climatisation estivale|","32","2025-04-29"
"Comment produit-on l'électricité de pointe ?|","Grâce aux centrales hydroélectriques|","33","2025-04-29"
"Que faire en cas de production électrique insuffisante ?|","Importer de l'électricité ou procéder à des délestages|","34","2025-04-29"
"Peut-on réarmer un disjoncteur moteur immédiatement ?|","Non, il faut attendre son refroidissement|","35","2025-04-29"
"Quelle est la procédure pour un contrôle d'isolement ?|","Couper l'alimentation, vérifier l'absence de tension, isoler les appareils, mesurer, puis tout remettre en service|","36","2025-04-29"
"Quelles sont les sensibilités standard des DDR ?|","10[mA]/30[mA] pour la protection des personnes, 300[mA] pour les choses|","37","2025-04-29"
"Quel est le temps de déclenchement d'un DDR ?|","Théoriquement 300[ms] max, mais en pratique 20-35[ms] (sauf type S : 120-500[ms])|","38","2025-04-29"
"Quels sont les types de cuisinières électriques ?|","Fonte, vitrocéramique, halogène, induction|","39","2025-04-29"
"Citez différents systèmes de chauffage électrique.|","Accumulation, convection, rayonnement infrarouge, plancher chauffant|","40","2025-04-29"
"Les pompes à chaleur sont-elles toujours adaptées ?|","Oui, mais nécessitent souvent une adaptation de l'installation existante|","41","2025-04-29"
"Où installer une pompe à chaleur ?|","Dans tous types d'environnements|","42","2025-04-29"
"Quels sont les différents types de PAC ?|","Air-eau, eau-eau, géothermiques|","43","2025-04-29"
"Corrigez : "Une PAC a un rendement de 300".|","On parle de COP (Coefficient de Performance), généralement compris entre 2 et 5|","44","2025-04-29"
"Comment fonctionne un disjoncteur ?|","Déclenchement thermique (surcharge) et magnétique (court-circuit)|","45","2025-04-29"
"Quel est le principe des plaques à induction ?|","Génération de courants induits dans les récipients par champ magnétique variable|","46","2025-04-29"
"Quelle différence entre tubes acier et aluminium ?|","Principalement leur poids|","47","2025-04-29"
"Comment régler les protections thermiques des moteurs ?|","Selon la valeur indiquée sur la plaque signalétique|","48","2025-04-29"
"Que contient une colonne montante ?|","Une distribution verticale avec boîtiers par étage, depuis le point de coupure|","49","2025-04-29"
"A quoi servent les DIT ?|","À définir des standards minimaux de qualité|","50","2025-04-29"
"Citez des points de coupure électrique.|","Répartiteurs, armoires de connexion, coupe-circuits|","51","2025-04-29"
"Faut-il mettre à terre les blindages entre bâtiments ?|","Cela dépend des perturbations à éviter|","52","2025-04-29"
"Comment fonctionne un microphone ?|","Conversion des ondes sonores en signal électrique par déplacement d'une bobine ou effet piézo|","53","2025-04-29"
"Comment fonctionnent les écouteurs ?|","Un courant variable fait vibrer une membrane via une bobine dans un champ magnétique|","54","2025-04-29"
"Quelles sont les liaisons à la terre en télécom ?|","Terre courant fort (radier) et équipotentiel BT + télécoms|","55","2025-04-29"
"Comment désactiver la renvoi d'appel ?|","En composant #21#|","56","2025-04-29"
"En télécommuncation, à quoi sert un relais courant fort ?|","Commander des appareils 230[V] avec un signal d'appel|","57","2025-04-29"
"Différence entre analogique et numérique ?|","Un signal analogique peut prendre une infinité de valeurs, reflétant fidèlement les variations du phénomène d’origine (par exemple, la courbe d’une onde sonore). Le signal numérique ne prend que deux valeurs possibles (0 ou 1) à chaque instant|","58","2025-04-29"
