question_content,answer_content,box_number,last_reviewed
"Signification de l'acronyme ACR|","ACR Attenuation to Crosstalk Ratio. Lors de la transmission sur câble à paire torsadée, atténuation et diaphonie agissent ensemble. Leur ratio (ACR-N) indique la qualité réelle, proche d’un rapport signal/bruit|",1,2025-05-03
"Signification de l'acronyme ACU|","ACU Autocommutateur d'usagers (voir PBX)|",2,2025-05-03
"Signification de l'acronyme AM|","AM Modulation d'amplitude|",3,2025-05-03
"Signification de l'acronyme BEP(HAK)|","BEP Building Entry Point pour fibre optique(Hausanschlusskasten)|",4,2025-05-03
"Signification de l'acronyme BRI|","BRI Basic Rate Interface|",5,2025-05-04
"Signification de l'acronyme CATV|","CATV TV par câble|",6,2025-05-03
"Signification de l'acronyme CEM|","CEM Compatibilité électromagnétique|",7,2025-05-03
"Signification de l'acronyme CLIP|","CLIP Calling Line Identification Identification de l'appelant|",8,2025-05-03
"Signification de l'acronyme CLIR|","CLIR Calling Line Identification Restriction  (sans CLIP)|",9,2025-05-03
"Signification de l'acronyme CT / CT1|","CT / CT1 Cordless Telephone|",10,2025-05-03
"Signification de l'acronyme CTI|","CTI Computer Telephone Integration|",11,2025-05-03
"Signification de l'acronyme CUC|","CUC Câblage universel de communication|",12,2025-05-03
"Signification de l'acronyme dB|","dB décibel|",13,2025-05-03
"Signification de l'acronyme DDI|","DDI Direct Dial In (plage de numéros de lignes directes)|",14,2025-05-03
"Signification de l'acronyme DECT|","DECT Digital Enhanced Cordless Telecommunication|",15,2025-05-03
"Signification de l'acronyme DHCP|","DHCP Dynamic Host Configuration Protocol|",16,2025-05-03
"Signification de l'acronyme DiSEqC|","DiSEqC Digital Satellite Equipment Control (commande LNB)|",17,2025-05-03
"Signification de l'acronyme DIT|","DIT Directives pour les installations de télécommunication|",18,2025-05-03
"Signification de l'acronyme DRAM|","DRAM Dynamic Random Access Memory|",19,2025-05-03
"Signification de l'acronyme DSL|","DSL Digital Subscriber Line|",20,2025-05-03
"Signification de l'acronyme DTMF|","DTMF Dual Tone Multi-Frequency|",21,2025-05-03
"Signification de l'acronyme DVB-C|","DVB-C Digital Video Broadcasting - Cable|",22,2025-05-03
"Signification de l'acronyme DVB-S|","DVB-S Digital Video Broadcasting - Satellite|",23,2025-05-03
"Signification de l'acronyme DVB-T|","DVB-T Digital Video Broadcasting - Terrestrial|",24,2025-05-03
"Signification de l'acronyme Ecomode|","Ecomode DECT avec rayonnement réduit|",25,2025-05-03
"Signification de l'acronyme EDGE|","EDGE Enhanced Data Rates for GSM Evolution (2G)|",26,2025-05-03
"Signification de l'acronyme ESTI|","ESTI Eidgenössisches Starkstrominspektorat(Inspection fédérale des installations à courant fort)|",27,2025-05-03
"Signification de l'acronyme ETSI|","ETSI European Telecommunications Standards Institute|",28,2025-05-03
"Signification de l'acronyme FC|","FC Fiber Cupler (connecteur de FO)|",29,2025-05-03
"Signification de l'acronyme FDDI|","FDDI Fiber Distributed Data Interface|",30,2025-05-03
"Signification de l'acronyme FEXT|","FEXT Far End CrossTalk (télédiaphonie)|",31,2025-05-03
